"PE1","PE2","EE1","EE2","SI1","SI2","FC1","FC2","HM1","HM2","PV1","PV2","HB1","HB2","VO1","VO2","TR1","TR2","EX1","EX2","ER1","ER2","AX1","AX2","BI1","BI2","BI3","BI4","Usage_MSCopilot","Usage_ChatGPT","Usage_Gemini","Usage_Other","Role","Education","Industry","Experience","Disability","Open_Feedback","AI_Adoption","Role_Category","Duration_minutes"
2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,2,1,1,2,1,1,"Employed - manager","Some college or vocational training","Other","1 to 3 years","No","",1,"Manager",137.666666666667
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Employed - manager","Some college or vocational training","Other","1 to 3 years","No","I think AI is going to revolutionize our existence in the near future.",1,"Manager",3.98333333333333
4,4,4,4,2,4,4,4,3,3,3,4,3,2,4,4,3,3,3,3,3,4,4,3,3,3,4,3,2,4,3,2,"Employed - individual contributor","Bachelor’s degree","Other","4 to 6 years","No","no comments",1,"IC",4.06666666666667
4,4,5,4,3,4,2,4,2,4,4,3,4,2,4,5,1,4,1,4,2,4,4,2,2,4,2,2,1,3,1,1,"Employed - individual contributor","Bachelor’s degree","Education","7 to 10 years","No","No",1,"IC",3.23333333333333
4,5,4,5,4,5,4,5,4,5,4,5,5,5,5,3,4,5,4,5,4,5,4,5,5,4,4,4,4,5,4,3,"Employed - manager","Master’s degree","Technology or IT","11 or more years","No","Thank you",1,"Manager",4.8
4,4,3,3,1,2,2,4,2,2,3,3,1,1,2,4,2,2,3,4,2,4,4,2,2,2,2,2,3,3,3,1,"Employed - executive or leader","Master’s degree","Manufacturing","11 or more years","No","Don't trust it. It is; often bias",1,"Executive",5.25
4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,2,3,3,4,4,4,5,3,4,4,4,4,5,3,4,3,5,"Full time student","Some college or vocational training","Technology or IT","11 or more years","Yes","Bias and hallucinations",1,"FT_Student",3.8
4,4,4,4,3,3,4,4,3,4,4,4,3,4,3,4,4,4,3,3,4,4,4,4,4,3,4,4,2,2,2,1,"Not currently employed","Some college or vocational training","Healthcare","11 or more years","Yes","no",1,"Unemployed",7.01666666666667
1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,"Employed - individual contributor","High school or less","Manufacturing","4 to 6 years","No","No",0,"IC",3.58333333333333
3,3,3,3,2,2,2,2,1,1,2,2,1,1,2,4,1,1,4,1,2,4,4,3,3,2,2,2,1,1,1,1,"Employed - individual contributor","Doctoral or professional degree","Education","11 or more years","No","none",0,"IC",2.85
1,3,5,2,1,3,4,4,3,3,2,1,3,1,2,1,2,1,2,4,4,5,5,3,2,1,1,1,2,3,2,1,"Employed - individual contributor","High school or less","Retail or Hospitality","7 to 10 years","No","AI has repeatedly lied to me, and made promises it could not keep ten plus times in a row. You give it simple rules for something and it has to mess it up every time. This is intentional. Because 5 plus 5 is not 12, nor is it nine. You give specific input and the output should match but does not. Garbage.",1,"IC",4.78333333333333
3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,3,4,3,3,4,4,4,4,1,3,1,1,"Employed - manager","Bachelor’s degree","Education","11 or more years","No","",1,"Manager",1.55
4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,4,4,4,4,4,3,4,3,4,"Employed - manager","Some college or vocational training","Other","7 to 10 years","No","None",1,"Manager",1.93333333333333
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,"Employed - executive or leader","Master’s degree","Technology or IT","4 to 6 years","Yes","I like this survey",1,"Executive",1.43333333333333
4,4,5,4,5,4,2,4,4,4,4,4,4,4,5,5,4,4,2,5,4,5,3,5,4,4,4,4,3,2,4,2,"Employed - individual contributor","Master’s degree","Education","11 or more years","No","It would be nice to learn how my phone can integrate AI tools as I just used them on an app",1,"IC",3.65
4,3,5,3,3,3,3,3,3,4,3,3,3,2,4,2,3,4,5,3,3,5,4,3,3,3,1,3,3,2,2,3,"Full time student","Some college or vocational training","Healthcare","1 to 3 years","No","",1,"FT_Student",2.03333333333333
4,4,3,3,5,5,2,4,5,5,4,5,4,4,5,4,4,4,4,5,4,2,2,4,4,5,5,4,5,4,1,1,"Employed - manager","Doctoral or professional degree","Retail or Hospitality","11 or more years","No","no",1,"Manager",3.01666666666667
1,1,5,1,1,1,4,1,1,1,1,1,1,1,1,5,1,1,2,5,5,5,5,1,1,1,1,1,2,2,1,1,"Employed - executive or leader","Doctoral or professional degree","Other","11 or more years","No","",1,"Executive",2.46666666666667
5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,2,4,1,1,5,5,5,5,4,4,4,3,"Employed - manager","Master’s degree","Finance or Banking","7 to 10 years","Yes","",1,"Manager",3.41666666666667
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,5,5,5,4,2,2,2,2,1,1,1,1,"Employed - individual contributor","High school or less","Other","4 to 6 years","No","No",0,"IC",2.93333333333333
3,2,3,2,1,3,1,2,2,2,3,2,2,2,2,4,3,3,2,4,1,4,5,2,3,3,2,3,1,1,1,1,"Employed - individual contributor","High school or less","Retail or Hospitality","11 or more years","Yes","I think there is to much misinformation when it comes to AI and would rather avoid it altogether",0,"IC",4.2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,"Employed - executive or leader","Doctoral or professional degree","Healthcare","4 to 6 years","No","",1,"Executive",2.08333333333333
4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,3,2,4,5,5,4,3,4,2,2,"Employed - individual contributor","Some college or vocational training","Other","11 or more years","No","Love using it.",1,"IC",4.06666666666667
3,3,4,3,2,3,4,3,3,3,3,4,2,2,4,3,2,3,3,3,4,4,4,3,3,3,3,3,3,3,3,2,"Employed - individual contributor","Some college or vocational training","Other","1 to 3 years","No","",1,"IC",5.13333333333333
3,4,4,4,4,3,3,4,4,4,3,4,3,2,3,2,4,4,4,4,2,3,4,2,4,4,4,3,3,4,3,3,"Employed - manager","Master’s degree","Technology or IT","1 to 3 years","No","No",1,"Manager",7.58333333333333
5,5,4,5,3,2,2,3,4,5,5,5,5,5,5,5,3,5,1,4,1,3,4,3,5,4,3,2,1,5,3,1,"Full time student","High school or less","Other","Less than 1 year","No","",1,"FT_Student",3
4,4,5,5,3,2,5,4,3,3,3,3,4,4,4,5,2,3,4,4,2,4,4,2,4,4,4,3,1,4,4,1,"Full time student","High school or less","Healthcare","Less than 1 year","No","no",1,"FT_Student",6.3
3,3,2,4,2,2,5,3,2,3,3,2,1,1,3,5,3,3,3,3,3,4,4,3,2,2,2,2,1,1,1,1,"Full time student","Some college or vocational training","Other","Less than 1 year","No","I feel like my generation is too reliant on it. I feel more accomplished if I finish something myself.",0,"FT_Student",7.16666666666667
4,4,3,4,1,5,4,3,3,4,3,3,4,4,4,4,3,3,1,3,5,2,5,3,3,3,2,3,2,4,1,1,"Full time student","Some college or vocational training","Other","Less than 1 year","No","I mainly use AI tools to help with my writing. I’m not very good with words so I find it helpful with that and I like to learn how to better write.",1,"FT_Student",4.75
4,2,3,2,2,2,1,3,4,3,4,4,5,5,4,5,4,4,1,4,4,4,5,2,3,4,4,3,2,4,1,4,"Full time student","Some college or vocational training","Other","Less than 1 year","No","no",1,"FT_Student",4.25
4,4,4,4,2,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,2,4,4,4,3,4,4,3,1,3,5,1,"Full time student","Bachelor’s degree","Healthcare","4 to 6 years","No","",1,"FT_Student",2.18333333333333
5,5,5,5,3,2,2,3,3,4,4,4,3,3,4,5,3,3,4,5,4,4,2,4,4,5,5,5,3,4,4,2,"Full time student","Some college or vocational training","Other","Less than 1 year","No","",1,"FT_Student",2.78333333333333
2,2,4,4,1,2,2,4,1,1,1,2,1,1,1,5,2,3,4,4,1,4,5,1,1,2,2,2,2,1,3,1,"Full time student","Some college or vocational training","Other","Less than 1 year","No","No",1,"FT_Student",2.9
2,2,4,4,1,1,5,4,1,1,1,1,2,1,2,5,2,1,2,5,5,5,5,5,1,1,2,1,1,3,1,1,"Full time student","Some college or vocational training","Other","Less than 1 year","Prefer not to answer","",1,"FT_Student",2.65
5,5,4,4,5,3,4,3,4,5,4,5,5,5,5,4,5,4,3,4,3,3,2,2,4,4,4,4,2,2,3,4,"Full time student","Some college or vocational training","Retail or Hospitality","Less than 1 year","No","No",1,"FT_Student",3
1,1,3,3,4,3,3,3,3,1,1,3,1,1,5,4,1,3,3,4,5,4,4,4,4,2,4,4,3,4,2,1,"Full time student","Some college or vocational training","Other","Less than 1 year","Yes","i use ChatGPT sometimes.",1,"FT_Student",6.3
4,1,5,3,1,3,4,3,1,1,1,1,3,4,3,3,1,1,2,3,5,5,5,2,1,1,1,1,1,3,3,1,"Full time student","Some college or vocational training","Other","1 to 3 years","No","Terrible. It's killing our communitites and enviroment, and making society lazy afff",1,"FT_Student",44.7333333333333
5,5,5,5,5,5,5,5,3,3,5,3,4,3,3,3,3,3,5,4,1,3,2,3,5,5,5,5,1,5,3,3,"Part time student","Bachelor’s degree","Technology or IT","1 to 3 years","No","nope",1,"PT_Student",2.13333333333333
4,4,4,4,3,3,2,3,4,3,3,3,4,4,4,3,3,4,4,4,2,4,4,3,3,3,4,2,3,2,1,1,"Full time student","Some college or vocational training","Healthcare","4 to 6 years","No","",1,"FT_Student",3.8
3,3,4,4,2,2,4,4,4,4,3,2,3,3,4,5,3,4,3,4,1,4,3,2,3,3,2,2,4,2,3,1,"Full time student","Some college or vocational training","Other","4 to 6 years","No","",1,"FT_Student",2.61666666666667
5,4,3,2,3,4,4,4,2,3,4,3,4,5,4,4,2,2,2,4,4,5,3,2,4,3,5,3,1,4,3,1,"Full time student","High school or less","Finance or Banking","Less than 1 year","No","no",1,"FT_Student",3.45
4,2,4,4,1,1,5,3,1,1,1,4,1,1,4,5,1,1,1,5,5,5,5,2,1,1,1,2,1,3,2,1,"Full time student","Bachelor’s degree","Education","Less than 1 year","Yes","It needs to be more clear on where the information comes from and improve user safety features to prevent mental health crises. If that were to happen, id consider using it more.",1,"FT_Student",3.36666666666667
4,4,4,3,3,4,2,4,2,3,4,3,5,5,3,4,3,3,2,4,4,4,4,3,3,4,3,3,4,5,1,1,"Full time student","High school or less","Education","Less than 1 year","No","",1,"FT_Student",7.25
4,4,3,4,3,2,2,2,4,4,4,4,4,4,3,4,3,3,4,4,2,3,2,2,4,4,4,3,2,4,2,3,"Full time student","Some college or vocational training","Education","Less than 1 year","No","It is not going anywhere so I think it is best to teach students how to use it properly than try and turn away from it.",1,"FT_Student",2.7
4,2,4,2,1,2,4,4,3,3,2,3,3,3,4,4,3,3,4,3,5,4,4,4,2,2,3,2,3,3,3,1,"Full time student","Some college or vocational training","Technology or IT","4 to 6 years","No","No",1,"FT_Student",5.61666666666667
3,4,4,4,2,3,3,3,3,3,2,3,2,2,2,3,3,3,2,4,2,4,4,3,2,3,3,2,5,1,1,1,"Full time student","Some college or vocational training","Healthcare","1 to 3 years","No","No",1,"FT_Student",6.15
4,3,4,4,4,4,2,3,3,4,4,4,1,1,4,4,2,3,2,4,2,3,4,2,3,3,2,2,2,3,2,1,"Full time student","Some college or vocational training","Other","1 to 3 years","No","No",1,"FT_Student",3.46666666666667
1,1,1,1,1,4,3,3,1,1,1,1,1,1,1,5,1,1,4,1,5,5,5,1,1,1,1,1,1,1,1,1,"Full time student","Some college or vocational training","Technology or IT","1 to 3 years","Yes","Ai shouldn’t be available for the public.",0,"FT_Student",2.98333333333333
4,2,3,2,2,3,2,2,2,3,2,2,1,2,2,5,2,3,2,5,4,5,5,5,2,2,2,2,1,2,1,2,"Full time student","Some college or vocational training","Technology or IT","Less than 1 year","Yes","",1,"FT_Student",4.26666666666667
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,3,1,3,1,"Full time student","High school or less","Education","Less than 1 year","No","Ai feel unethical and o hope we don’t become reliant on it",1,"FT_Student",1.68333333333333
1,1,1,3,1,4,1,1,1,1,1,1,1,1,2,5,1,2,3,4,3,5,5,3,1,1,1,1,1,1,1,1,"Full time student","Bachelor’s degree","Other","4 to 6 years","No","",0,"FT_Student",2.78333333333333
5,4,4,3,4,2,2,3,2,2,4,1,5,5,4,5,4,4,2,5,1,5,4,4,2,2,2,2,5,5,1,1,"Full time student","Some college or vocational training","Healthcare","Less than 1 year","No","A reason for not using AI is because it takes away having to put the work in to get answers which decreases work ethic.",1,"FT_Student",6.96666666666667
4,2,4,5,2,4,4,5,2,1,4,4,2,1,2,5,2,5,4,4,4,5,5,4,2,1,3,2,1,3,2,1,"Full time student","Bachelor’s degree","Other","Less than 1 year","No","I have concerns about the environmental impacts of AI.",1,"FT_Student",2.96666666666667
4,4,4,4,2,3,2,3,2,3,2,3,4,3,5,3,4,3,3,4,4,3,4,4,4,2,3,4,4,4,4,1,"Full time student","Bachelor’s degree","Healthcare","1 to 3 years","No","I like it but sometimes I don’t trust the info given to me.",1,"FT_Student",898.25
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,"Full time student","Bachelor’s degree","Other","4 to 6 years","No","No",1,"FT_Student",2.08333333333333
5,5,4,4,2,2,4,4,3,5,3,3,4,4,5,5,4,4,3,3,5,5,5,1,3,2,1,1,1,3,1,3,"Full time student","High school or less","Education","Less than 1 year","No","You really don’t learn anything from using AI, it’s more better that us humans use our knowledge towards whatever we’re doing rather than taking the easy route",1,"FT_Student",6.53333333333333
1,1,3,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,4,5,5,5,4,1,1,1,1,1,1,1,1,"Full time student","High school or less","Other","1 to 3 years","No","",0,"FT_Student",2.06666666666667
4,3,5,4,3,4,2,5,3,4,4,3,2,3,4,3,4,3,4,5,3,4,3,1,4,3,3,4,3,1,2,1,"Full time student","Some college or vocational training","Retail or Hospitality","1 to 3 years","No","It's convenient to use since it's built into most browsers and applications we use daily",1,"FT_Student",3.65
5,4,5,5,3,4,4,5,4,5,5,5,5,3,5,5,4,5,5,5,3,2,3,2,4,5,3,4,2,5,3,2,"Full time student","High school or less","Other","Less than 1 year","No","No",1,"FT_Student",3.3
4,2,4,4,3,3,4,4,2,2,4,4,4,4,4,4,2,3,3,4,3,3,4,3,3,3,3,2,2,4,1,2,"Full time student","Some college or vocational training","Other","1 to 3 years","No","No thank you!",1,"FT_Student",3.95
4,4,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,2,2,1,2,1,2,3,4,4,3,"Full time student","Some college or vocational training","Technology or IT","Less than 1 year","No","NO",1,"FT_Student",1.6
5,4,5,4,4,4,4,3,3,3,4,4,5,5,5,5,4,4,4,4,3,3,4,2,3,3,2,2,1,4,3,2,"Full time student","Some college or vocational training","Healthcare","1 to 3 years","No","No",1,"FT_Student",3.4
2,2,3,3,1,1,3,3,2,1,1,1,1,1,1,1,2,1,4,5,3,5,5,1,1,1,1,1,3,1,2,1,"Part time student","Bachelor’s degree","Healthcare","Less than 1 year","No","AI is very negative, can’t learn anything from it",1,"PT_Student",2.71666666666667
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,1,4,1,1,"Full time student","Some college or vocational training","Other","Less than 1 year","No","noo",1,"FT_Student",2.18333333333333
3,3,5,5,3,3,4,4,3,3,3,2,3,3,4,4,3,3,2,4,4,5,5,2,2,3,2,2,3,4,3,1,"Full time student","High school or less","Retail or Hospitality","4 to 6 years","No","",1,"FT_Student",4.18333333333333
4,1,5,4,4,4,4,4,2,1,4,2,2,1,4,5,3,2,5,4,2,5,5,1,2,1,4,1,1,3,1,1,"Full time student","Some college or vocational training","Other","1 to 3 years","Prefer not to answer","It's ultimately worsening the world in many ways. I believe the world is worse off with it.",1,"FT_Student",5.93333333333333
4,5,4,4,4,2,2,4,4,5,4,2,5,4,4,4,2,3,5,4,1,4,4,2,4,3,4,4,4,2,5,3,"Full time student","Some college or vocational training","Other","Less than 1 year","Yes","I like writing with Ai quite a bit honestly!",1,"FT_Student",6.75
5,4,5,5,3,4,5,5,4,5,4,5,5,4,5,5,3,4,5,5,2,5,4,4,4,5,5,3,3,5,5,4,"Full time student","Bachelor’s degree","Technology or IT","1 to 3 years","No","I use AI mainly to learn new things or simplify concepts or solve problems I'm having. It has actually made it easier to understand school stuff as it easily clarifies my doubts at any time i need.",1,"FT_Student",4.23333333333333
5,4,5,5,4,2,5,5,5,4,5,4,5,5,5,2,5,5,5,4,5,3,3,4,4,4,4,5,3,5,5,3,"Full time student","Some college or vocational training","Other","1 to 3 years","No","Makes things so much easier for life but that might also be a bad thing as it might turn into a Wall-E situation.",1,"FT_Student",2.93333333333333
3,2,5,3,1,2,5,4,2,1,3,4,1,1,1,5,2,4,4,5,5,4,5,5,4,3,5,4,2,5,1,1,"Full time student","Some college or vocational training","Technology or IT","Less than 1 year","No","A.I!!!!!!!!",1,"FT_Student",3.38333333333333
3,3,3,3,3,2,2,2,3,3,2,4,2,2,2,4,3,3,2,2,1,4,4,2,3,3,3,3,2,2,1,1,"Other","Some college or vocational training","Government or Public sector","11 or more years","No","No",1,"Other",3.25
3,4,4,4,3,3,4,4,4,4,4,4,2,2,4,4,4,4,4,2,2,3,2,3,4,4,4,4,4,3,1,1,"Employed - manager","Doctoral or professional degree","Other","11 or more years","No","No",1,"Manager",4.9
4,4,4,4,2,3,4,3,4,4,4,4,2,2,4,4,3,3,4,4,2,4,4,2,2,3,2,2,1,1,3,3,"Employed - manager","Bachelor’s degree","Retail or Hospitality","11 or more years","No","I don’t",1,"Manager",3.65
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,5,4,4,4,1,"Employed - manager","Master’s degree","Other","11 or more years","No","No",1,"Manager",3.95
1,1,3,1,1,1,3,1,1,1,1,3,1,1,1,5,1,3,4,4,1,5,5,1,1,3,1,1,2,1,1,1,"Freelancer or self employed","Some college or vocational training","Other","11 or more years","No","",1,"Freelancer",2.66666666666667
4,3,3,4,3,2,4,4,3,4,3,4,2,2,4,5,4,3,2,4,1,4,3,1,2,2,2,1,1,1,1,3,"Freelancer or self employed","Some college or vocational training","Other","11 or more years","No","no",1,"Freelancer",3.26666666666667
2,2,3,2,1,1,1,2,1,1,1,2,1,2,2,4,2,2,2,3,4,5,4,2,2,2,1,1,1,1,1,1,"Employed - individual contributor","Bachelor’s degree","Manufacturing","11 or more years","Yes","AI is dangerous",0,"IC",4.65
4,4,4,4,5,5,4,4,4,5,4,5,3,3,5,3,4,4,3,4,3,3,2,2,4,5,4,5,4,1,3,1,"Employed - executive or leader","Master’s degree","Retail or Hospitality","11 or more years","No","They are great as a means of improving productivity.",1,"Executive",2.91666666666667
4,2,3,3,3,5,3,4,4,4,2,4,1,2,4,5,4,4,4,4,1,4,4,3,2,3,3,4,1,3,1,3,"Freelancer or self employed","Some college or vocational training","Other","11 or more years","No","No",1,"Freelancer",3.65
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,4,4,4,3,3,3,3,4,4,4,3,4,4,4,1,"Employed - manager","Bachelor’s degree","Retail or Hospitality","11 or more years","No","I have no further feedback",1,"Manager",6.01666666666667
3,2,4,4,2,3,2,2,2,3,2,2,2,2,2,2,3,3,4,4,4,5,4,2,2,2,2,3,3,1,1,1,"Employed - individual contributor","Bachelor’s degree","Other","11 or more years","No","None",1,"IC",5.96666666666667
3,2,3,2,2,1,4,2,1,1,2,1,1,1,2,4,1,1,3,4,2,5,5,2,2,2,1,2,3,1,1,1,"Employed - manager","Master’s degree","Manufacturing","11 or more years","No","None",1,"Manager",4.16666666666667
3,3,4,4,3,2,4,4,5,4,2,4,2,3,4,4,4,2,3,4,2,2,4,2,3,3,4,4,2,2,2,1,"Employed - individual contributor","Master’s degree","Finance or Banking","11 or more years","No","not really. its all very new",1,"IC",2.95
2,4,3,3,3,3,2,3,2,2,3,2,3,3,2,1,3,3,2,2,2,1,3,3,3,4,1,4,2,3,2,1,"Employed - individual contributor","High school or less","Education","4 to 6 years","No","None",1,"IC",1.5
3,3,4,4,4,3,4,3,3,3,3,4,3,3,3,4,4,4,5,2,2,2,2,3,3,4,4,2,3,4,1,3,"Not currently employed","High school or less","Other","Less than 1 year","No","not anything bad as i use it just for fun",1,"Unemployed",4.81666666666667
1,2,2,3,3,4,3,3,3,3,3,3,3,2,2,4,3,2,4,4,1,4,3,2,3,3,2,4,1,1,2,1,"Employed - executive or leader","Master’s degree","Other","11 or more years","No","None",1,"Executive",17.9
5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,5,2,3,2,4,5,5,4,4,2,4,5,3,"Employed - manager","Bachelor’s degree","Manufacturing","11 or more years","Yes","No",1,"Manager",3.58333333333333
4,3,2,3,4,4,2,2,3,2,2,3,1,1,4,4,2,3,3,4,5,5,5,5,4,1,4,4,4,3,3,1,"Not currently employed","Bachelor’s degree","Technology or IT","11 or more years","No","Interesting survey, and I wish we could complete more surveys reference the AI subject matter. My personal opinion is that AI is dangerous, and will not be beneficial to our economy in the long run.",1,"Unemployed",2.75
3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,3,3,3,3,3,2,3,2,3,4,3,4,4,1,1,2,1,"Employed - individual contributor","Some college or vocational training","Retail or Hospitality","11 or more years","No","I'm 65 and am trying to work with AI, but there is help for seniors",1,"IC",9.85
3,3,3,3,2,3,3,4,3,4,4,3,2,2,2,4,3,4,2,3,2,5,4,4,4,3,4,4,1,3,1,1,"Employed - individual contributor","High school or less","Other","4 to 6 years","No","",1,"IC",3.88333333333333
4,3,5,5,3,4,4,4,4,3,3,4,4,3,2,2,4,4,4,4,4,4,3,4,4,4,4,3,3,4,3,3,"Employed - manager","Bachelor’s degree","Other","7 to 10 years","No","No thanks",1,"Manager",2.76666666666667
4,3,4,4,1,3,3,4,3,3,4,4,1,4,4,3,3,4,2,3,2,4,4,2,2,3,4,2,1,3,3,1,"Employed - individual contributor","Bachelor’s degree","Other","4 to 6 years","No","No",1,"IC",11.3
4,3,4,4,3,3,2,3,4,4,4,4,2,2,4,3,3,3,4,4,2,4,2,2,3,3,4,3,4,2,3,4,"Employed - executive or leader","Bachelor’s degree","Manufacturing","11 or more years","No","Nothing to note",1,"Executive",3.36666666666667
3,3,3,3,2,3,2,3,2,3,3,3,2,2,2,4,3,3,3,4,4,4,4,3,3,3,3,3,2,2,2,1,"Employed - individual contributor","Bachelor’s degree","Education","11 or more years","No","None",1,"IC",8.43333333333333
2,1,4,4,1,1,4,4,1,1,1,1,1,1,1,5,1,1,2,4,3,5,5,1,1,1,1,1,1,1,1,1,"Employed - individual contributor","Some college or vocational training","Manufacturing","11 or more years","No","I used it once. It was laughably wrong. I never used it again.",0,"IC",3.45
3,3,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,3,4,4,4,4,2,2,"Employed - individual contributor","Bachelor’s degree","Finance or Banking","11 or more years","No","",1,"IC",3.3
5,5,3,3,3,3,3,4,4,4,4,4,4,4,3,3,2,3,3,4,3,4,3,3,3,3,3,3,4,4,4,4,"Employed - individual contributor","High school or less","Other","11 or more years","No","",1,"IC",51.45
5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,2,4,4,4,5,5,5,5,5,5,5,5,5,3,3,1,2,"Employed - individual contributor","Some college or vocational training","Other","1 to 3 years","No","Ai is real fun but it will destroy Hollywood movies. But I love ai.",1,"IC",4.4
3,3,4,4,2,3,4,4,2,2,4,4,2,3,4,4,2,3,4,4,5,5,4,4,4,4,3,4,1,3,1,3,"Freelancer or self employed","Bachelor’s degree","Technology or IT","11 or more years","No","For any task I do, I sometimes give AI a chance to do better than I would if I completed the project myself.",1,"Freelancer",4.3
4,3,4,4,3,4,4,3,4,3,2,4,2,3,5,5,4,4,4,3,4,5,4,4,4,3,4,5,5,3,2,2,"Employed - individual contributor","Some college or vocational training","Manufacturing","11 or more years","No","Nothing else to add.",1,"IC",4.18333333333333
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,5,5,5,1,1,1,1,1,1,1,1,"Employed - individual contributor","Bachelor’s degree","Education","11 or more years","No","no",0,"IC",3.61666666666667
4,4,4,4,3,4,3,3,3,4,3,3,4,2,4,4,2,2,3,4,2,2,3,3,4,2,4,2,4,4,3,5,"Employed - executive or leader","Doctoral or professional degree","Government or Public sector","7 to 10 years","No","I use AI while I am driving.",1,"Executive",4.88333333333333
4,3,5,4,4,4,4,3,3,4,5,4,2,3,4,5,2,4,4,4,5,4,3,4,4,4,5,3,4,3,4,3,"Part time student","Some college or vocational training","Education","1 to 3 years","No","AI tools are helpful but they are ultimately just tools. They should not be used as crutches or be the sole creative voice behind the project. I use AI tools to supplement my work and make it faster, but I always have to check for and correct any mistakes made.",1,"PT_Student",3.11666666666667
4,3,5,4,2,4,4,3,4,4,5,4,1,1,4,3,3,4,4,5,5,5,5,4,4,3,4,3,1,3,2,3,"Employed - manager","Some college or vocational training","Technology or IT","11 or more years","No","",1,"Manager",2.46666666666667
3,3,2,2,1,4,3,3,2,2,1,1,1,1,1,1,1,1,3,3,4,4,4,3,3,3,3,2,1,1,1,1,"Employed - individual contributor","Master’s degree","Technology or IT","11 or more years","No","",0,"IC",5.9
3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,2,2,1,3,3,4,4,3,2,1,1,1,1,1,1,1,"Other","High school or less","Other","Less than 1 year","No","No",0,"Other",6.33333333333333
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,4,4,4,4,2,2,2,2,1,1,1,1,"Employed - individual contributor","Master’s degree","Education","11 or more years","No","I find that it is more often wrong than right, and it creates more problems than it solves.",0,"IC",3.31666666666667
3,2,3,3,2,3,4,3,2,3,3,3,1,4,4,5,1,2,2,4,3,5,4,3,3,3,2,3,1,2,2,1,"Employed - individual contributor","Some college or vocational training","Healthcare","11 or more years","No","none",1,"IC",10.05
4,4,5,4,3,4,5,4,5,4,4,5,3,4,5,4,4,5,4,4,3,4,2,1,4,5,4,4,4,4,5,3,"Employed - executive or leader","Bachelor’s degree","Other","11 or more years","No","They are the wave of the present and the future.",1,"Executive",5.36666666666667
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,3,4,4,3,4,4,1,1,4,1,"Other","High school or less","Other","1 to 3 years","No","Nothing",1,"Other",2.2
1,1,3,3,3,3,3,3,3,3,2,2,3,3,2,2,1,1,3,3,2,5,4,3,1,1,1,3,3,3,3,1,"Employed - executive or leader","Master’s degree","Retail or Hospitality","1 to 3 years","Yes","AI is dangerous and wasteful",1,"Executive",2.78333333333333
5,5,5,4,4,4,5,5,5,4,5,4,5,5,5,4,4,4,4,4,2,2,3,3,4,4,4,4,5,5,4,4,"Employed - manager","Master’s degree","Technology or IT","7 to 10 years","No","No thank you.",1,"Manager",4.78333333333333
5,5,5,5,4,4,5,5,5,5,4,4,5,4,5,2,5,5,5,4,2,2,1,1,5,5,5,5,5,4,5,4,"Employed - executive or leader","Bachelor’s degree","Finance or Banking","11 or more years","No","I use AI tools for the efficiency they bring me in performing tasks and freeing my time for other areas that I can be working on instead",1,"Executive",3.78333333333333
2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,2,4,4,3,2,1,2,2,3,2,1,1,"Not currently employed","Bachelor’s degree","Education","11 or more years","No","",1,"Unemployed",2.3
